president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
Joe Biden,Voters,01-19-23,44.94,50.078134,39.794202,50.8,54.599548,47.003665,09:19:10 19 Jan 2023,-5.87,2023-01-19 09:19:10,Jan. 19
Joe Biden,Voters,01-18-23,45.64,51.038968,40.231338,50.17,53.836081,46.494479,19:30:11 18 Jan 2023,-4.53,2023-01-18 19:30:11,Jan. 18
Joe Biden,Voters,01-17-23,45.82,50.706781,40.932726,49.95,54.272054,45.62271,09:54:21 17 Jan 2023,-4.13,2023-01-17 09:54:21,Jan. 17
Joe Biden,Voters,01-13-23,45.82,50.704394,40.930753,49.99,54.312585,45.66576,09:10:10 13 Jan 2023,-4.17,2023-01-13 09:10:10,Jan. 13
Joe Biden,Voters,01-12-23,45.98,50.042515,41.918945,50.0,54.419873,45.589197,16:41:10 12 Jan 2023,-4.02,2023-01-12 16:41:10,Jan. 12
Joe Biden,Voters,01-11-23,45.94,50.054151,41.83519,50.06,54.508657,45.613949,17:05:11 11 Jan 2023,-4.12,2023-01-11 17:05:11,Jan. 11
Joe Biden,Voters,01-10-23,45.29,48.945449,41.634473,50.56,54.669538,46.440917,15:14:09 10 Jan 2023,-5.27,2023-01-10 15:14:09,Jan. 10
Joe Biden,Voters,01-09-23,45.29,49.019343,41.552547,50.64,54.803464,46.473905,09:25:12  9 Jan 2023,-5.35,2023-01-09 09:25:12,Jan. 09
Joe Biden,Voters,01-06-23,45.29,49.019343,41.552547,50.64,54.803464,46.473905,10:56:09  6 Jan 2023,-5.35,2023-01-06 10:56:09,Jan. 06
Joe Biden,Voters,01-05-23,45.23,48.983589,41.481313,50.69,54.886466,46.484655,09:12:09  5 Jan 2023,-5.45,2023-01-05 09:12:09,Jan. 05
Joe Biden,Voters,01-04-23,45.2,48.918571,41.475448,50.63,54.813869,46.44207,11:52:09  4 Jan 2023,-5.43,2023-01-04 11:52:09,Jan. 04
Joe Biden,Voters,01-03-23,44.98,48.768374,41.196837,50.76,55.014417,46.502386,09:17:12  3 Jan 2023,-5.78,2023-01-03 09:17:12,Jan. 03
Joe Biden,Voters,12-30-22,44.98,48.768374,41.196837,50.76,55.014417,46.502386,09:42:07 30 Dec 2022,-5.78,2022-12-30 09:42:07,Dec. 30
